job_id,title,company,location,required_skills,min_experience,education,salary_min,salary_max,description
J0065,Senior Go Developer,Plaid,"San Francisco, CA","Go,gRPC,Kafka,PostgreSQL,Kubernetes,Terraform,AWS",4,Bachelor,168742,260216,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0032,Java Backend Engineer,Google,"Mountain View, CA","Java,Spring,SpringBoot,MySQL,Kafka,Redis,Microservices",3,Bachelor,147098,241078,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0430,Senior Data Engineer,Confluent,Remote,"Python,Spark,Airflow,Kafka,AWS,Terraform,dbt,Data Modeling",7,Bachelor,171289,295308,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0449,ML Platform Engineer,GitHub,Remote,"Python,Kubernetes,Docker,MLflow,Airflow,AWS,Terraform",6,Master,168049,294560,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0337,Senior ML Engineer,HashiCorp,"San Francisco, CA","Python,PyTorch,Distributed Training,MLOps,Kubernetes,AWS,C++",6,Master,204579,363912,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0651,Product Designer,Anthropic,"San Francisco, CA","Figma,UI,UX,Prototyping,Design Systems,User Research",4,Bachelor,141950,235083,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0270,Senior Android Developer,IBM,"San Francisco, CA","Kotlin,Jetpack Compose,Dagger,Retrofit,Testing,CI/CD",6,Bachelor,175007,259336,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0086,Ruby on Rails Engineer,Scale AI,"San Francisco, CA","Ruby,Rails,PostgreSQL,Sidekiq,Redis,Heroku",4,Bachelor,162798,223976,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0529,Infrastructure Engineer,IBM,"Denver, CO","Linux,AWS,Terraform,Ansible,Docker,Networking,Python",5,Bachelor,158207,247491,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0013,Senior Python Backend Engineer,Dell,"Round Rock, TX","Python,Django,FastAPI,PostgreSQL,Redis,Docker,AWS,Linux",5,Bachelor,172502,268892,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0416,Data Engineer,Cloudflare,"San Francisco, CA","Python,SQL,Spark,Airflow,AWS,Kafka,ETL,Data Modeling",4,Bachelor,151784,251803,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0346,NLP Engineer,Airbnb,"Nashville, TN","Python,PyTorch,Transformers,HuggingFace,NLP,LLM,Fine-tuning",4,Master,183223,293445,"Build and fine-tune large language models, develop RAG systems, optimize inference, and integrate LLM capabilities into products."
J0371,LLM Engineer,SpaceX,"Atlanta, GA","Python,PyTorch,Transformers,LangChain,RAG,Fine-tuning,Prompt Engineering",4,Master,184888,326014,"Build and fine-tune large language models, develop RAG systems, optimize inference, and integrate LLM capabilities into products."
J0577,Senior QA Engineer,Ripple,"San Francisco, CA","Python,Selenium,Cypress,Playwright,CI/CD,Performance Testing,API Testing",4,Bachelor,151285,222814,"Design and implement test automation frameworks, write comprehensive test suites, and ensure product quality through rigorous testing."
J0143,Senior React Frontend Engineer,Databricks,"San Francisco, CA","React,TypeScript,Redux,Next.js,CSS,Webpack,Testing",5,Bachelor,154882,269766,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0197,UI Engineer,Twitter/X,"San Francisco, CA","JavaScript,React,CSS,HTML,Figma,Animation,Responsive",4,Bachelor,122693,219073,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0017,Python Backend Developer,Cloudflare,"Washington, DC","Python,Flask,PostgreSQL,Docker,Git,REST",3,Bachelor,144419,199121,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0181,Senior Frontend Architect,Meta,"Menlo Park, CA","React,TypeScript,GraphQL,Next.js,Performance,A11y,Design Systems",7,Bachelor,187496,303740,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0365,LLM Engineer,Tesla,"Minneapolis, MN","Python,PyTorch,Transformers,LangChain,RAG,Fine-tuning,Prompt Engineering",3,Master,191316,311535,"Build and fine-tune large language models, develop RAG systems, optimize inference, and integrate LLM capabilities into products."
J0342,NLP Engineer,Red Hat,"Los Angeles, CA","Python,PyTorch,Transformers,HuggingFace,NLP,LLM,Fine-tuning",3,Master,176386,276319,"Build and fine-tune large language models, develop RAG systems, optimize inference, and integrate LLM capabilities into products."
J0151,React Developer,Airbnb,"San Francisco, CA","React,JavaScript,TypeScript,HTML,CSS,Redux",4,Bachelor,128122,211658,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0334,Senior ML Engineer,Datadog,"Minneapolis, MN","Python,PyTorch,Distributed Training,MLOps,Kubernetes,AWS,C++",6,Master,201343,363805,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0452,Recommendation Systems Engineer,AMD,"Seattle, WA","Python,PyTorch,Collaborative Filtering,A/B Testing,SQL,Spark",4,Master,163247,268080,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0288,Flutter Developer,Cohere,"Boston, MA","Flutter,Dart,Firebase,REST,Mobile,Git",3,Bachelor,114371,186452,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0681,Smart Contract Developer,Datadog,"New York, NY","Solidity,Hardhat,Foundry,EVM,Security,Auditing,TypeScript",3,Bachelor,164866,298791,"Develop and audit smart contracts, build decentralized applications, and contribute to protocol design and security."
J0171,Vue.js Frontend Engineer,Salesforce,"San Francisco, CA","Vue,Vuex,JavaScript,TypeScript,HTML,CSS,Webpack",3,Bachelor,114723,193434,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0112,Scala Backend Engineer,Cruise,"San Francisco, CA","Scala,Akka,Kafka,Spark,PostgreSQL,Functional",4,Master,169205,261868,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0060,Senior Go Developer,Supabase,Remote,"Go,gRPC,Kafka,PostgreSQL,Kubernetes,Terraform,AWS",4,Bachelor,174083,259176,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0483,Senior DevOps Engineer,Waymo,"Mountain View, CA","AWS,Terraform,Kubernetes,Helm,ArgoCD,Monitoring,Python,Linux",6,Bachelor,170006,268832,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0616,Technical Program Manager,Ripple,"San Francisco, CA","Program Management,Agile,Cross-functional,Risk Management,Technical",5,Bachelor,177821,276871,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0599,Product Manager,Uber,"San Francisco, CA","Product Strategy,Analytics,SQL,A/B Testing,Roadmapping,Agile",4,Bachelor,153176,267713,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0485,Senior DevOps Engineer,Palantir,"Denver, CO","AWS,Terraform,Kubernetes,Helm,ArgoCD,Monitoring,Python,Linux",6,Bachelor,173862,271086,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0677,Smart Contract Developer,Pinterest,"San Francisco, CA","Solidity,Hardhat,Foundry,EVM,Security,Auditing,TypeScript",5,Bachelor,175982,293381,"Develop and audit smart contracts, build decentralized applications, and contribute to protocol design and security."
J0362,Computer Vision Engineer,GitLab,Remote,"Python,PyTorch,OpenCV,CNNs,Object Detection,3D Vision",4,Master,182130,277648,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0627,UX Designer,Adobe,"Phoenix, AZ","Figma,User Research,Prototyping,Design Systems,Wireframing,A11y",3,Bachelor,117551,196456,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0292,Flutter Developer,Samsung,"San Jose, CA","Flutter,Dart,Firebase,REST,Mobile,Git",3,Bachelor,120160,201888,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0078,Ruby on Rails Engineer,Canva,"Atlanta, GA","Ruby,Rails,PostgreSQL,Sidekiq,Redis,Heroku",4,Bachelor,149476,234488,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0128,PHP Full Stack Developer,Atlassian,"San Francisco, CA","PHP,Laravel,MySQL,JavaScript,Vue,Docker",3,Bachelor,106825,160879,"Work across the stack to deliver features end-to-end, from database design to pixel-perfect UIs, in a fast-paced agile environment."
J0602,Product Manager,Supabase,"Phoenix, AZ","Product Strategy,Analytics,SQL,A/B Testing,Roadmapping,Agile",5,Bachelor,173893,257409,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0094,Rust Systems Engineer,Atlassian,"San Francisco, CA","Rust,C++,Linux,Networking,Concurrency,Systems",3,Bachelor,180224,279139,"Optimize systems for performance and reliability, work on low-level software, and solve complex distributed systems challenges."
J0007,Senior Python Backend Engineer,Uber,"Austin, TX","Python,Django,FastAPI,PostgreSQL,Redis,Docker,AWS,Linux",5,Bachelor,172571,249090,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0481,Senior DevOps Engineer,Ripple,"San Francisco, CA","AWS,Terraform,Kubernetes,Helm,ArgoCD,Monitoring,Python,Linux",6,Bachelor,175003,285229,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0168,Vue.js Frontend Engineer,Airbnb,"San Francisco, CA","Vue,Vuex,JavaScript,TypeScript,HTML,CSS,Webpack",3,Bachelor,131747,205965,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0103,C++ Systems Developer,Tesla,"Austin, TX","C++,STL,Linux,Multithreading,CMake,Performance",5,Bachelor,167675,246706,"Optimize systems for performance and reliability, work on low-level software, and solve complex distributed systems challenges."
J0029,Java Backend Engineer,Robinhood,"Denver, CO","Java,Spring,SpringBoot,MySQL,Kafka,Redis,Microservices",4,Bachelor,163015,235410,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0148,React Developer,Canva,"Chicago, IL","React,JavaScript,TypeScript,HTML,CSS,Redux",3,Bachelor,135800,211681,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0445,ML Platform Engineer,Vercel,"Denver, CO","Python,Kubernetes,Docker,MLflow,Airflow,AWS,Terraform",4,Master,175376,286819,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0126,PHP Full Stack Developer,GitHub,Remote,"PHP,Laravel,MySQL,JavaScript,Vue,Docker",3,Bachelor,119202,170866,"Work across the stack to deliver features end-to-end, from database design to pixel-perfect UIs, in a fast-paced agile environment."
J0453,Recommendation Systems Engineer,HashiCorp,"Los Angeles, CA","Python,PyTorch,Collaborative Filtering,A/B Testing,SQL,Spark",4,Master,158505,264439,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0463,Recommendation Systems Engineer,Salesforce,"Denver, CO","Python,PyTorch,Collaborative Filtering,A/B Testing,SQL,Spark",4,Master,162930,268279,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0442,ML Platform Engineer,Salesforce,"San Francisco, CA","Python,Kubernetes,Docker,MLflow,Airflow,AWS,Terraform",5,Master,177301,289150,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0571,QA Automation Engineer,IBM,"Los Angeles, CA","Python,Selenium,Pytest,CI/CD,API Testing,SQL,Git",2,Bachelor,121519,164220,"Design and implement test automation frameworks, write comprehensive test suites, and ensure product quality through rigorous testing."
J0076,Ruby on Rails Engineer,Figma,"Philadelphia, PA","Ruby,Rails,PostgreSQL,Sidekiq,Redis,Heroku",3,Bachelor,148306,237954,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0490,Site Reliability Engineer,GitHub,Remote,"Python,Go,Kubernetes,AWS,Monitoring,Linux,Terraform,Incident Management",5,Bachelor,162367,277616,"Ensure service reliability at scale, manage incident response, build monitoring and alerting systems, and drive reliability culture."
J0180,Senior Frontend Architect,Confluent,"San Diego, CA","React,TypeScript,GraphQL,Next.js,Performance,A11y,Design Systems",7,Bachelor,181527,297605,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0272,React Native Developer,Block,"San Francisco, CA","React Native,TypeScript,Redux,REST,Firebase,Mobile",4,Bachelor,138311,217718,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0023,Java Backend Engineer,Lyft,"San Francisco, CA","Java,Spring,SpringBoot,MySQL,Kafka,Redis,Microservices",4,Bachelor,173525,250489,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0186,Senior Frontend Architect,Salesforce,"San Francisco, CA","React,TypeScript,GraphQL,Next.js,Performance,A11y,Design Systems",7,Bachelor,199758,308623,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0236,iOS Engineer,Plaid,"Portland, OR","Swift,UIKit,SwiftUI,CoreData,XCode,Combine,MVVM",4,Bachelor,143931,230253,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0071,Node.js Backend Engineer,MongoDB,"Miami, FL","Node.js,Express,TypeScript,MongoDB,Redis,GraphQL",4,Bachelor,139299,224864,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0376,AI Research Scientist,PayPal,"Atlanta, GA","Python,PyTorch,Math,Statistics,Research,NLP,Reinforcement Learning",6,PhD,204086,388687,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0592,SDET,Dell,"Minneapolis, MN","Java,Selenium,TestNG,REST,CI/CD,Docker,API Testing",5,Bachelor,125708,223172,"Design and implement test automation frameworks, write comprehensive test suites, and ensure product quality through rigorous testing."
J0389,Data Analyst,Sony,"San Mateo, CA","Python,SQL,Excel,Tableau,Statistics,Pandas,Data Visualization",2,Bachelor,95468,136039,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0611,Senior Product Manager,GitLab,"Portland, OR","Product Strategy,Analytics,SQL,Stakeholder Management,Vision,GTM",6,Bachelor,181542,298178,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0364,LLM Engineer,HashiCorp,"San Francisco, CA","Python,PyTorch,Transformers,LangChain,RAG,Fine-tuning,Prompt Engineering",3,Master,170169,323033,"Build and fine-tune large language models, develop RAG systems, optimize inference, and integrate LLM capabilities into products."
J0265,Senior Android Developer,Oracle,"Austin, TX","Kotlin,Jetpack Compose,Dagger,Retrofit,Testing,CI/CD",7,Bachelor,180825,253314,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0299,Data Scientist,Robinhood,"Menlo Park, CA","Python,Pandas,Scikit-learn,SQL,Statistics,Matplotlib,Jupyter",3,Master,144545,226519,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0363,Computer Vision Engineer,Scale AI,"San Francisco, CA","Python,PyTorch,OpenCV,CNNs,Object Detection,3D Vision",5,Master,158579,280174,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0305,Data Scientist,JetBrains,"Miami, FL","Python,Pandas,Scikit-learn,SQL,Statistics,Matplotlib,Jupyter",2,Master,142545,233587,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0436,Analytics Engineer,Microsoft,"Redmond, WA","SQL,dbt,Python,Snowflake,Looker,Data Modeling,Git",4,Bachelor,137427,204187,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0116,Scala Backend Engineer,Uber,"San Francisco, CA","Scala,Akka,Kafka,Spark,PostgreSQL,Functional",4,Master,169771,257990,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0289,Flutter Developer,Adobe,"Chicago, IL","Flutter,Dart,Firebase,REST,Mobile,Git",3,Bachelor,132786,200680,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0437,Analytics Engineer,IBM,"New York, NY","SQL,dbt,Python,Snowflake,Looker,Data Modeling,Git",2,Bachelor,142866,205305,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0549,Senior Security Engineer,Atlassian,"San Francisco, CA","Security,AWS,Kubernetes,IAM,SIEM,Threat Modeling,Compliance,Python",5,Bachelor,191356,301900,"Identify and mitigate security vulnerabilities, conduct security reviews, build security tooling, and respond to security incidents."
J0239,iOS Engineer,Anduril,"Costa Mesa, CA","Swift,UIKit,SwiftUI,CoreData,XCode,Combine,MVVM",5,Bachelor,168249,240258,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0614,Senior Product Manager,Pinterest,"San Francisco, CA","Product Strategy,Analytics,SQL,Stakeholder Management,Vision,GTM",7,Bachelor,196032,312829,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0623,Technical Program Manager,Okta,"San Francisco, CA","Program Management,Agile,Cross-functional,Risk Management,Technical",6,Bachelor,168873,257567,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0668,Blockchain Engineer,Arm,"Minneapolis, MN","Solidity,Ethereum,Web3.js,Smart Contracts,DeFi,Node.js",4,Bachelor,145152,266236,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0232,iOS Engineer,Tesla,"Austin, TX","Swift,UIKit,SwiftUI,CoreData,XCode,Combine,MVVM",4,Bachelor,156788,233729,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0252,Android Engineer,Coinbase,"Austin, TX","Kotlin,Jetpack Compose,Android SDK,Room,Coroutines,MVVM",5,Bachelor,164787,251536,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0027,Java Backend Engineer,Arm,"San Jose, CA","Java,Spring,SpringBoot,MySQL,Kafka,Redis,Microservices",5,Bachelor,152892,258770,"Design and build scalable backend services, optimize APIs for performance and reliability, and contribute to system architecture decisions."
J0084,Ruby on Rails Engineer,Block,"San Francisco, CA","Ruby,Rails,PostgreSQL,Sidekiq,Redis,Heroku",3,Bachelor,156497,242532,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0695,FPGA Engineer,OpenAI,"San Francisco, CA","VHDL,Verilog,FPGA,Xilinx,Signal Processing,C++",5,Master,148632,259859,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0466,DevOps Engineer,Samsung,"San Jose, CA","AWS,Terraform,Docker,Kubernetes,CI/CD,Linux,Python,Ansible",4,Bachelor,138231,233478,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0629,UX Designer,Waymo,"Mountain View, CA","Figma,User Research,Prototyping,Design Systems,Wireframing,A11y",3,Bachelor,124944,197308,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0657,Product Designer,Cruise,"San Francisco, CA","Figma,UI,UX,Prototyping,Design Systems,User Research",5,Bachelor,133475,233762,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0195,UI Engineer,Zoom,"San Diego, CA","JavaScript,React,CSS,HTML,Figma,Animation,Responsive",2,Bachelor,136274,203379,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0441,Analytics Engineer,Atlassian,"Seattle, WA","SQL,dbt,Python,Snowflake,Looker,Data Modeling,Git",3,Bachelor,116759,198200,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0713,Robotics Software Engineer,Airbnb,"Miami, FL","C++,Python,ROS,Computer Vision,SLAM,Linux,Control Systems",4,Master,148736,248192,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0655,Product Designer,Zoom,"Minneapolis, MN","Figma,UI,UX,Prototyping,Design Systems,User Research",4,Bachelor,141623,219836,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0096,Rust Systems Engineer,Twilio,"San Francisco, CA","Rust,C++,Linux,Networking,Concurrency,Systems",4,Bachelor,167779,287965,"Optimize systems for performance and reliability, work on low-level software, and solve complex distributed systems challenges."
J0689,Embedded Systems Engineer,Palo Alto Networks,"Santa Clara, CA","C,C++,RTOS,ARM,Linux,Hardware,Firmware",3,Bachelor,130724,238643,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0140,Senior React Frontend Engineer,AMD,"Santa Clara, CA","React,TypeScript,Redux,Next.js,CSS,Webpack,Testing",5,Bachelor,159440,263165,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0218,Senior Full Stack Developer,Stripe,"San Francisco, CA","React,Python,Django,PostgreSQL,Redis,AWS,Docker,Kubernetes",6,Bachelor,170001,287505,"Work across the stack to deliver features end-to-end, from database design to pixel-perfect UIs, in a fast-paced agile environment."
J0251,Android Engineer,Snap,"Nashville, TN","Kotlin,Jetpack Compose,Android SDK,Room,Coroutines,MVVM",5,Bachelor,150162,244016,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0268,Senior Android Developer,Supabase,Remote,"Kotlin,Jetpack Compose,Dagger,Retrofit,Testing,CI/CD",7,Bachelor,177703,275267,"Develop and maintain high-quality mobile applications, implement new features, and ensure smooth app performance across devices."
J0450,ML Platform Engineer,MongoDB,"New York, NY","Python,Kubernetes,Docker,MLflow,Airflow,AWS,Terraform",5,Master,174563,288559,"Design and implement machine learning models, build training pipelines, deploy models to production, and improve model performance iteratively."
J0312,Senior Data Scientist,Airbnb,"San Francisco, CA","Python,Pandas,TensorFlow,PyTorch,SQL,Statistics,MLOps,Experiment Design",6,Master,188324,308250,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0418,Data Engineer,Plaid,"San Francisco, CA","Python,SQL,Spark,Airflow,AWS,Kafka,ETL,Data Modeling",4,Bachelor,141498,253432,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0174,Angular Frontend Developer,OpenAI,"Boston, MA","Angular,TypeScript,RxJS,HTML,CSS,NgRx",3,Bachelor,115451,202741,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0552,Senior Security Engineer,Snap,"Los Angeles, CA","Security,AWS,Kubernetes,IAM,SIEM,Threat Modeling,Compliance,Python",6,Bachelor,174554,303474,"Identify and mitigate security vulnerabilities, conduct security reviews, build security tooling, and respond to security incidents."
J0676,Smart Contract Developer,Canva,"Boston, MA","Solidity,Hardhat,Foundry,EVM,Security,Auditing,TypeScript",3,Bachelor,178301,306316,"Develop and audit smart contracts, build decentralized applications, and contribute to protocol design and security."
J0486,Site Reliability Engineer,Samsung,"San Jose, CA","Python,Go,Kubernetes,AWS,Monitoring,Linux,Terraform,Incident Management",5,Bachelor,161393,286712,"Ensure service reliability at scale, manage incident response, build monitoring and alerting systems, and drive reliability culture."
